,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,stopping tol
51,0.7997148148148148,50,0.4356818016541889,train,25,0.3,1e-08,0.27906976744186046,0.9,23 : 40_tanh : 2_tanh,3,0.0001
52,0.7957666666666666,50,0.43916576608474533,test,26,0.3,1e-08,0.27829313543599254,0.9,23 : 40_tanh : 2_tanh,3,0.0001
53,0.7959777777777779,50,0.4406028006919597,train,26,0.3,1e-08,0.27829313543599254,0.9,23 : 40_tanh : 2_tanh,3,0.0001
54,0.7986333333333334,50,0.43609704286169143,test,27,0.3,1e-08,0.27752081406105455,0.9,23 : 40_tanh : 2_tanh,3,0.0001
55,0.7984296296296296,50,0.4367942716829507,train,27,0.3,1e-08,0.27752081406105455,0.9,23 : 40_tanh : 2_tanh,3,0.0001
56,0.7978,50,0.43359831296615053,test,28,0.3,1e-08,0.27675276752767525,0.9,23 : 40_tanh : 2_tanh,3,0.0001
57,0.7974222222222223,50,0.43519960333810853,train,28,0.3,1e-08,0.27675276752767525,0.9,23 : 40_tanh : 2_tanh,3,0.0001
58,0.7984000000000002,50,0.43274909538828565,test,29,0.3,1e-08,0.27598896044158233,0.9,23 : 40_tanh : 2_tanh,3,0.0001
59,0.7977740740740741,50,0.43448125425061274,train,29,0.3,1e-08,0.27598896044158233,0.9,23 : 40_tanh : 2_tanh,3,0.0001
60,0.7991333333333331,50,0.4339613307207765,test,30,0.3,1e-08,0.2752293577981651,0.9,23 : 40_tanh : 2_tanh,3,0.0001
61,0.7986925925925925,50,0.4341994344505789,train,30,0.3,1e-08,0.2752293577981651,0.9,23 : 40_tanh : 2_tanh,3,0.0001
62,0.7983,50,0.43502547245660794,test,31,0.3,1e-08,0.2744739249771272,0.9,23 : 40_tanh : 2_tanh,3,0.0001
63,0.7979259259259259,50,0.4366728994509237,train,31,0.3,1e-08,0.2744739249771272,0.9,23 : 40_tanh : 2_tanh,3,0.0001
64,0.7997777777777779,50,0.4348428676515716,test,32,0.3,1e-08,0.2737226277372262,0.9,23 : 40_tanh : 2_tanh,3,0.0001
65,0.7995884773662553,50,0.43579092718803353,train,32,0.3,1e-08,0.2737226277372262,0.9,23 : 40_tanh : 2_tanh,3,0.0001
66,0.7990000000000002,50,0.4380255585461759,test,33,0.3,1e-08,0.272975432211101,0.9,23 : 40_tanh : 2_tanh,3,0.0001
67,0.7996954732510289,50,0.4397673398260931,train,33,0.3,1e-08,0.272975432211101,0.9,23 : 40_tanh : 2_tanh,3,0.0001
68,0.7978518518518518,50,0.4386947331006864,test,34,0.3,1e-08,0.27223230490018147,0.9,23 : 40_tanh : 2_tanh,3,0.0001
69,0.7974279835390948,50,0.43868709744969997,train,34,0.3,1e-08,0.27223230490018147,0.9,23 : 40_tanh : 2_tanh,3,0.0001
70,0.7995555555555556,50,0.4393493527612039,test,35,0.3,1e-08,0.27149321266968324,0.9,23 : 40_tanh : 2_tanh,3,0.0001
71,0.7977201646090535,50,0.4399749397315359,train,35,0.3,1e-08,0.27149321266968324,0.9,23 : 40_tanh : 2_tanh,3,0.0001
72,0.796962962962963,50,0.4460592845800399,test,36,0.3,1e-08,0.2707581227436823,0.9,23 : 40_tanh : 2_tanh,3,0.0001
73,0.7966995884773662,50,0.44426766345500984,train,36,0.3,1e-08,0.2707581227436823,0.9,23 : 40_tanh : 2_tanh,3,0.0001
74,0.7975185185185185,50,0.44688732716119195,test,37,0.3,1e-08,0.27002700270027,0.9,23 : 40_tanh : 2_tanh,3,0.0001
75,0.798,50,0.44488636458705827,train,37,0.3,1e-08,0.27002700270027,0.9,23 : 40_tanh : 2_tanh,3,0.0001
76,0.7997083333333334,50,0.4461499236088051,test,38,0.3,1e-08,0.2692998204667863,0.9,23 : 40_tanh : 2_tanh,3,0.0001
77,0.8005787037037037,50,0.44367325210002906,train,38,0.3,1e-08,0.2692998204667863,0.9,23 : 40_tanh : 2_tanh,3,0.0001
78,0.8015833333333332,50,0.44463535545630095,test,39,0.3,1e-08,0.2685765443151298,0.9,23 : 40_tanh : 2_tanh,3,0.0001
79,0.8015416666666666,50,0.4427672580939436,train,39,0.3,1e-08,0.2685765443151298,0.9,23 : 40_tanh : 2_tanh,3,0.0001
80,0.805904761904762,50,0.4445431081369584,test,40,0.3,1e-08,0.26785714285714285,0.9,23 : 40_tanh : 2_tanh,3,0.0001
81,0.8063703703703704,50,0.4429680184989961,train,40,0.3,1e-08,0.26785714285714285,0.9,23 : 40_tanh : 2_tanh,3,0.0001
82,0.8088888888888889,50,0.44476986740063035,test,41,0.3,1e-08,0.26714158504007124,0.9,23 : 40_tanh : 2_tanh,3,0.0001
83,0.8108395061728394,50,0.4431333011229108,train,41,0.3,1e-08,0.26714158504007124,0.9,23 : 40_tanh : 2_tanh,3,0.0001
84,0.8079444444444445,50,0.4445110997444792,test,42,0.3,1e-08,0.26642984014209586,0.9,23 : 40_tanh : 2_tanh,3,0.0001
85,0.8098333333333333,50,0.44319972944656616,train,42,0.3,1e-08,0.26642984014209586,0.9,23 : 40_tanh : 2_tanh,3,0.0001
86,0.8081111111111112,50,0.44441399341069104,test,43,0.3,1e-08,0.2657218777679362,0.9,23 : 40_tanh : 2_tanh,3,0.0001
87,0.8107283950617283,50,0.44217268262000026,train,43,0.3,1e-08,0.2657218777679362,0.9,23 : 40_tanh : 2_tanh,3,0.0001
88,0.8100555555555555,50,0.4434695820022923,test,44,0.3,1e-08,0.2650176678445229,0.9,23 : 40_tanh : 2_tanh,3,0.0001
89,0.8104876543209877,50,0.44168148088181963,train,44,0.3,1e-08,0.2650176678445229,0.9,23 : 40_tanh : 2_tanh,3,0.0001
90,0.8092777777777777,50,0.4449086711734505,test,45,0.3,1e-08,0.2643171806167401,0.9,23 : 40_tanh : 2_tanh,3,0.0001
91,0.8117592592592592,50,0.44342873445280834,train,45,0.3,1e-08,0.2643171806167401,0.9,23 : 40_tanh : 2_tanh,3,0.0001
92,0.8082777777777777,50,0.44493819347677294,test,46,0.3,1e-08,0.26362038664323373,0.9,23 : 40_tanh : 2_tanh,3,0.0001
93,0.8095555555555555,50,0.4425462494524393,train,46,0.3,1e-08,0.26362038664323373,0.9,23 : 40_tanh : 2_tanh,3,0.0001
94,0.8094444444444445,50,0.4445817888496368,test,47,0.3,1e-08,0.26292725679228746,0.9,23 : 40_tanh : 2_tanh,3,0.0001
95,0.810425925925926,50,0.4424310606071668,train,47,0.3,1e-08,0.26292725679228746,0.9,23 : 40_tanh : 2_tanh,3,0.0001
96,0.8078333333333334,50,0.4431353378977092,test,48,0.3,1e-08,0.2622377622377622,0.9,23 : 40_tanh : 2_tanh,3,0.0001
97,0.8100246913580248,50,0.44116091082398584,train,48,0.3,1e-08,0.2622377622377622,0.9,23 : 40_tanh : 2_tanh,3,0.0001
