,number of layers,nodes per layer,epoch,batch size,learning rate,initial learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
29,3,23 : 40_sigmoid : 2_sigmoid,14,50,0.3787878787878788,0.4,0.9,1e-08,0.0001,0.4285169935607174,0.7833333333333333,test
30,3,23 : 40_sigmoid : 2_sigmoid,15,50,0.37735849056603776,0.4,0.9,1e-08,0.0001,0.4692087427986783,0.7782962962962963,train
31,3,23 : 40_sigmoid : 2_sigmoid,15,50,0.37735849056603776,0.4,0.9,1e-08,0.0001,0.4602232013466595,0.7833333333333333,test
32,3,23 : 40_sigmoid : 2_sigmoid,16,50,0.37593984962406013,0.4,0.9,1e-08,0.0001,0.4098494306789775,0.7792962962962963,train
33,3,23 : 40_sigmoid : 2_sigmoid,16,50,0.37593984962406013,0.4,0.9,1e-08,0.0001,0.4059748228289338,0.784,test
34,3,23 : 40_sigmoid : 2_sigmoid,17,50,0.37453183520599254,0.4,0.9,1e-08,0.0001,0.40122489161846714,0.7788518518518519,train
35,3,23 : 40_sigmoid : 2_sigmoid,17,50,0.37453183520599254,0.4,0.9,1e-08,0.0001,0.3963611371165448,0.783,test
36,3,23 : 40_sigmoid : 2_sigmoid,18,50,0.373134328358209,0.4,0.9,1e-08,0.0001,,0.7782962962962963,train
37,3,23 : 40_sigmoid : 2_sigmoid,18,50,0.373134328358209,0.4,0.9,1e-08,0.0001,,0.7833333333333333,test
38,3,23 : 40_sigmoid : 2_sigmoid,19,50,0.37174721189591076,0.4,0.9,1e-08,0.0001,,0.7782962962962963,train
39,3,23 : 40_sigmoid : 2_sigmoid,19,50,0.37174721189591076,0.4,0.9,1e-08,0.0001,,0.7833333333333333,test
40,3,23 : 40_sigmoid : 2_sigmoid,20,50,0.37037037037037035,0.4,0.9,1e-08,0.0001,,0.7782962962962963,train
41,3,23 : 40_sigmoid : 2_sigmoid,20,50,0.37037037037037035,0.4,0.9,1e-08,0.0001,,0.7833333333333333,test
42,3,23 : 40_sigmoid : 2_sigmoid,21,50,0.36900369003690037,0.4,0.9,1e-08,0.0001,,0.7782962962962963,train
