,number of layers,nodes per layer,epoch,batch size,learning rate,initial learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
6,5,23 : 40_tanh : 20_tanh : 10_tanh : 2_tanh,3,50,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.5268414481266838,0.7782962962962963,train
7,5,23 : 40_tanh : 20_tanh : 10_tanh : 2_tanh,3,50,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.5199311630263649,0.7833333333333333,test
8,5,23 : 40_tanh : 20_tanh : 10_tanh : 2_tanh,4,50,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.524819299398354,0.7782962962962963,train
9,5,23 : 40_tanh : 20_tanh : 10_tanh : 2_tanh,4,50,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.5180236944329168,0.7833333333333333,test
10,5,23 : 40_tanh : 20_tanh : 10_tanh : 2_tanh,5,50,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.523540367802811,0.7782962962962963,train
11,5,23 : 40_tanh : 20_tanh : 10_tanh : 2_tanh,5,50,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.5168322888066658,0.7833333333333333,test
12,5,23 : 40_tanh : 20_tanh : 10_tanh : 2_tanh,6,50,0.009994003597841297,0.01,0.9,0.0001,0.0001,0.5227688493400988,0.7782962962962963,train
13,5,23 : 40_tanh : 20_tanh : 10_tanh : 2_tanh,6,50,0.009994003597841297,0.01,0.9,0.0001,0.0001,0.5161278144360982,0.7833333333333333,test
0,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,0,50,0.01,0.01,0.9,0.0001,0.0001,0.8078488651320701,0.2217037037037037,train
1,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,0,50,0.01,0.01,0.9,0.0001,0.0001,0.8098327131983922,0.21666666666666667,test
2,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,1,50,0.009999000099990002,0.01,0.9,0.0001,0.0001,0.7596846217451756,0.2217037037037037,train
3,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,1,50,0.009999000099990002,0.01,0.9,0.0001,0.0001,0.7609646728276729,0.21666666666666667,test
4,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,2,50,0.009998000399920017,0.01,0.9,0.0001,0.0001,0.7219989373887467,0.2217037037037037,train
5,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,2,50,0.009998000399920017,0.01,0.9,0.0001,0.0001,0.722676409888407,0.21666666666666667,test
6,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,3,50,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.6923622476288757,0.22266666666666668,train
7,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,3,50,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.6925235178231398,0.21733333333333332,test
8,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,4,50,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.6688795357705962,0.7782962962962963,train
9,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,4,50,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.6685975731891827,0.7833333333333333,test
10,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,5,50,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.6501242496455542,0.7782962962962963,train
11,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,5,50,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.6494607701640043,0.7833333333333333,test
12,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,6,50,0.009994003597841297,0.01,0.9,0.0001,0.0001,0.6350213584768511,0.7782962962962963,train
13,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,6,50,0.009994003597841297,0.01,0.9,0.0001,0.0001,0.6340286204772828,0.7833333333333333,test
14,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,7,50,0.0099930048965724,0.01,0.9,0.0001,0.0001,0.6227648410250722,0.7782962962962963,train
15,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,7,50,0.0099930048965724,0.01,0.9,0.0001,0.0001,0.6214872996699423,0.7833333333333333,test
16,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,8,50,0.009992006394884094,0.01,0.9,0.0001,0.0001,0.6127268799379036,0.7782962962962963,train
17,5,23 : 40_sigmoid : 20_sigmoid : 10_sigmoid : 2_sigmoid,8,50,0.009992006394884094,0.01,0.9,0.0001,0.0001,0.611202042251397,0.7833333333333333,test
0,5,23 : 10_tanh : 20_tanh : 40_tanh : 2_tanh,0,50,0.01,0.01,0.9,0.0001,0.0001,0.5980294531757344,0.7654074074074074,train
1,5,23 : 10_tanh : 20_tanh : 40_tanh : 2_tanh,0,50,0.01,0.01,0.9,0.0001,0.0001,0.5917898341841784,0.7726666666666666,test
2,5,23 : 10_tanh : 20_tanh : 40_tanh : 2_tanh,1,50,0.009999000099990002,0.01,0.9,0.0001,0.0001,0.569519586504312,0.7781111111111111,train
3,5,23 : 10_tanh : 20_tanh : 40_tanh : 2_tanh,1,50,0.009999000099990002,0.01,0.9,0.0001,0.0001,0.5627593951606762,0.7833333333333333,test
4,5,23 : 10_tanh : 20_tanh : 40_tanh : 2_tanh,2,50,0.009998000399920017,0.01,0.9,0.0001,0.0001,0.5561468965213993,0.7782962962962963,train
5,5,23 : 10_tanh : 20_tanh : 40_tanh : 2_tanh,2,50,0.009998000399920017,0.01,0.9,0.0001,0.0001,0.549279673826222,0.7833333333333333,test
6,5,23 : 10_tanh : 20_tanh : 40_tanh : 2_tanh,3,50,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.5487361618595721,0.7782962962962963,train
7,5,23 : 10_tanh : 20_tanh : 40_tanh : 2_tanh,3,50,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.5419594563029303,0.7833333333333333,test
8,5,23 : 10_tanh : 20_tanh : 40_tanh : 2_tanh,4,50,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.5439760528321114,0.7782962962962963,train
9,5,23 : 10_tanh : 20_tanh : 40_tanh : 2_tanh,4,50,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.5373684743720416,0.7833333333333333,test
10,5,23 : 10_tanh : 20_tanh : 40_tanh : 2_tanh,5,50,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.5406819824187624,0.7782962962962963,train
11,5,23 : 10_tanh : 20_tanh : 40_tanh : 2_tanh,5,50,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.5342718340633152,0.7833333333333333,test
12,5,23 : 10_tanh : 20_tanh : 40_tanh : 2_tanh,6,50,0.009994003597841297,0.01,0.9,0.0001,0.0001,0.5382528130809034,0.7782962962962963,train
13,5,23 : 10_tanh : 20_tanh : 40_tanh : 2_tanh,6,50,0.009994003597841297,0.01,0.9,0.0001,0.0001,0.5320368157991937,0.7833333333333333,test
0,5,23 : 10_sigmoid : 20_sigmoid : 40_sigmoid : 2_sigmoid,0,50,0.01,0.01,0.9,0.0001,0.0001,0.7577548651141267,0.2217037037037037,train
1,5,23 : 10_sigmoid : 20_sigmoid : 40_sigmoid : 2_sigmoid,0,50,0.01,0.01,0.9,0.0001,0.0001,0.7589061808297028,0.21666666666666667,test
2,5,23 : 10_sigmoid : 20_sigmoid : 40_sigmoid : 2_sigmoid,1,50,0.009999000099990002,0.01,0.9,0.0001,0.0001,0.6571705646191843,0.7782962962962963,train
3,5,23 : 10_sigmoid : 20_sigmoid : 40_sigmoid : 2_sigmoid,1,50,0.009999000099990002,0.01,0.9,0.0001,0.0001,0.6565798479753958,0.7833333333333333,test
4,5,23 : 10_sigmoid : 20_sigmoid : 40_sigmoid : 2_sigmoid,2,50,0.009998000399920017,0.01,0.9,0.0001,0.0001,0.6053952059865348,0.7782962962962963,train
5,5,23 : 10_sigmoid : 20_sigmoid : 40_sigmoid : 2_sigmoid,2,50,0.009998000399920017,0.01,0.9,0.0001,0.0001,0.6036107269158476,0.7833333333333333,test
6,5,23 : 10_sigmoid : 20_sigmoid : 40_sigmoid : 2_sigmoid,3,50,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.5774753312943749,0.7782962962962963,train
7,5,23 : 10_sigmoid : 20_sigmoid : 40_sigmoid : 2_sigmoid,3,50,0.009997000899730081,0.01,0.9,0.0001,0.0001,0.57486273223201,0.7833333333333333,test
8,5,23 : 10_sigmoid : 20_sigmoid : 40_sigmoid : 2_sigmoid,4,50,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.5616272076563587,0.7782962962962963,train
9,5,23 : 10_sigmoid : 20_sigmoid : 40_sigmoid : 2_sigmoid,4,50,0.009996001599360257,0.01,0.9,0.0001,0.0001,0.5584322430619109,0.7833333333333333,test
10,5,23 : 10_sigmoid : 20_sigmoid : 40_sigmoid : 2_sigmoid,5,50,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.5521359916834241,0.7782962962962963,train
11,5,23 : 10_sigmoid : 20_sigmoid : 40_sigmoid : 2_sigmoid,5,50,0.009995002498750625,0.01,0.9,0.0001,0.0001,0.548524026256767,0.7833333333333333,test
12,5,23 : 10_sigmoid : 20_sigmoid : 40_sigmoid : 2_sigmoid,6,50,0.009994003597841297,0.01,0.9,0.0001,0.0001,0.5461830557150563,0.7782962962962963,train
13,5,23 : 10_sigmoid : 20_sigmoid : 40_sigmoid : 2_sigmoid,6,50,0.009994003597841297,0.01,0.9,0.0001,0.0001,0.5422680342247855,0.7833333333333333,test
0,3,23 : 40_tanh : 2_tanh,0,100,0.01,0.01,0.9,0.0001,0.0001,0.5159007466309721,0.7782222222222223,train
1,3,23 : 40_tanh : 2_tanh,0,100,0.01,0.01,0.9,0.0001,0.0001,0.5075497697770113,0.7833333333333333,test
2,3,23 : 40_tanh : 2_tanh,1,100,0.009999000099990002,0.01,0.9,0.0001,0.0001,0.513357502499372,0.7782592592592592,train
3,3,23 : 40_tanh : 2_tanh,1,100,0.009999000099990002,0.01,0.9,0.0001,0.0001,0.5052801236665545,0.7833333333333333,test
4,3,23 : 40_tanh : 2_tanh,2,100,0.009998000399920017,0.01,0.9,0.0001,0.0001,0.5112887822953545,0.7782592592592592,train
