,number of layers,nodes per layer,epoch,batch size,learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
58,3,23 : 40_sigmoid : 2_sigmoid,29,50,0.160427807486631,0.9,1e-08,0.0001,0.4726107447213089,0.7858148148148149,train
59,3,23 : 40_sigmoid : 2_sigmoid,29,50,0.160427807486631,0.9,1e-08,0.0001,0.46677106037133037,0.7856666666666666,test
60,3,23 : 40_sigmoid : 2_sigmoid,30,50,0.15789473684210523,0.9,1e-08,0.0001,0.46983146146016824,0.792962962962963,train
61,3,23 : 40_sigmoid : 2_sigmoid,30,50,0.15789473684210523,0.9,1e-08,0.0001,0.4646914060975575,0.791,test
62,3,23 : 40_sigmoid : 2_sigmoid,31,50,0.155440414507772,0.9,1e-08,0.0001,0.47261032828092797,0.7863703703703704,train
63,3,23 : 40_sigmoid : 2_sigmoid,31,50,0.155440414507772,0.9,1e-08,0.0001,0.46670526559530023,0.7863333333333333,test
64,3,23 : 40_sigmoid : 2_sigmoid,32,50,0.1530612244897959,0.9,1e-08,0.0001,0.4695829254181794,0.7974074074074075,train
65,3,23 : 40_sigmoid : 2_sigmoid,32,50,0.1530612244897959,0.9,1e-08,0.0001,0.46488798193381026,0.7973333333333333,test
66,3,23 : 40_sigmoid : 2_sigmoid,33,50,0.15075376884422106,0.9,1e-08,0.0001,0.469411460722995,0.7937407407407407,train
67,3,23 : 40_sigmoid : 2_sigmoid,33,50,0.15075376884422106,0.9,1e-08,0.0001,0.4642426672244764,0.791,test
68,3,23 : 40_sigmoid : 2_sigmoid,34,50,0.14851485148514848,0.9,1e-08,0.0001,0.471189149647255,0.7895925925925926,train
69,3,23 : 40_sigmoid : 2_sigmoid,34,50,0.14851485148514848,0.9,1e-08,0.0001,0.46547429724280626,0.7876666666666666,test
70,3,23 : 40_sigmoid : 2_sigmoid,35,50,0.14634146341463408,0.9,1e-08,0.0001,0.46921683444212314,0.7938888888888889,train
71,3,23 : 40_sigmoid : 2_sigmoid,35,50,0.14634146341463408,0.9,1e-08,0.0001,0.4638956232230022,0.791,test
72,3,23 : 40_sigmoid : 2_sigmoid,36,50,0.1442307692307692,0.9,1e-08,0.0001,0.4686617834944834,0.7975185185185185,train
73,3,23 : 40_sigmoid : 2_sigmoid,36,50,0.1442307692307692,0.9,1e-08,0.0001,0.4637566705101604,0.7973333333333333,test
74,3,23 : 40_sigmoid : 2_sigmoid,37,50,0.14218009478672983,0.9,1e-08,0.0001,0.46863047798710183,0.7972962962962963,train
75,3,23 : 40_sigmoid : 2_sigmoid,37,50,0.14218009478672983,0.9,1e-08,0.0001,0.46368216197996365,0.7973333333333333,test
76,3,23 : 40_sigmoid : 2_sigmoid,38,50,0.14018691588785043,0.9,1e-08,0.0001,0.46926824410612006,0.7931851851851852,train
77,3,23 : 40_sigmoid : 2_sigmoid,38,50,0.14018691588785043,0.9,1e-08,0.0001,0.4637743091374987,0.7896666666666666,test
