,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,pol order,stopping tol
58,Nan,50,0.005109934328559457,test,29,0.4,1e-06,0.35842293906810035,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
59,Nan,50,0.0044110576086556445,train,29,0.4,1e-06,0.35842293906810035,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
60,Nan,50,0.004009884238958325,test,30,0.4,1e-06,0.35714285714285715,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
61,Nan,50,0.0037271373996551928,train,30,0.4,1e-06,0.35714285714285715,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
62,Nan,50,0.0038742425375406903,test,31,0.4,1e-06,0.3558718861209964,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
63,Nan,50,0.003776358291324752,train,31,0.4,1e-06,0.3558718861209964,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
64,Nan,50,0.002182155086094719,validation,31,0.4,1e-06,0.3558718861209964,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
65,Nan,50,0.004035209524493041,test,32,0.4,1e-06,0.35460992907801414,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
66,Nan,50,0.004487001445954887,train,32,0.4,1e-06,0.35460992907801414,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
67,Nan,50,0.003260416112965629,test,33,0.4,1e-06,0.3533568904593639,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
68,Nan,50,0.004190162808443497,train,33,0.4,1e-06,0.3533568904593639,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
69,Nan,50,0.0036198362664462765,test,34,0.4,1e-06,0.352112676056338,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
70,Nan,50,0.0046960148071506025,train,34,0.4,1e-06,0.352112676056338,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
71,Nan,50,0.008174907055987526,validation,34,0.4,1e-06,0.352112676056338,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
72,Nan,50,0.004234351397813768,test,35,0.4,1e-06,0.3508771929824561,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
73,Nan,50,0.0045435637618276145,train,35,0.4,1e-06,0.3508771929824561,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
74,Nan,50,0.0035819848572404916,test,36,0.4,1e-06,0.34965034965034963,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
75,Nan,50,0.004010014787086152,train,36,0.4,1e-06,0.34965034965034963,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
76,Nan,50,0.0034777326021393318,test,37,0.4,1e-06,0.3484320557491289,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
77,Nan,50,0.004147442843100797,train,37,0.4,1e-06,0.3484320557491289,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
78,Nan,50,0.0036825173863437297,test,38,0.4,1e-06,0.3472222222222222,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
79,Nan,50,0.004131194679287476,train,38,0.4,1e-06,0.3472222222222222,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
80,Nan,50,0.0035473233372681676,test,39,0.4,1e-06,0.3460207612456747,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
81,Nan,50,0.004250817053550294,train,39,0.4,1e-06,0.3460207612456747,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
82,Nan,50,0.003560879493364916,test,40,0.4,1e-06,0.3448275862068965,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
83,Nan,50,0.0043461595758024765,train,40,0.4,1e-06,0.3448275862068965,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
84,Nan,50,0.003221954936676408,test,41,0.4,1e-06,0.3436426116838488,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
85,Nan,50,0.004597308511670388,train,41,0.4,1e-06,0.3436426116838488,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
86,Nan,50,0.004357443646872476,test,42,0.4,1e-06,0.3424657534246575,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
87,Nan,50,0.0047738422492014055,train,42,0.4,1e-06,0.3424657534246575,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
88,Nan,50,0.0038617897599933213,test,43,0.4,1e-06,0.341296928327645,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
89,Nan,50,0.00426053666149353,train,43,0.4,1e-06,0.341296928327645,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
90,Nan,50,0.0036331952189747117,test,44,0.4,1e-06,0.3401360544217687,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
91,Nan,50,0.00439410673213562,train,44,0.4,1e-06,0.3401360544217687,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
92,Nan,50,0.004455384214328977,test,45,0.4,1e-06,0.3389830508474576,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
93,Nan,50,0.004671942415993319,train,45,0.4,1e-06,0.3389830508474576,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
94,Nan,50,0.00351190998984767,test,46,0.4,1e-06,0.33783783783783783,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
