, pol order,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,pol order,stopping tol
57,,Nan,50,0.0047664230222340094,test,28,0.3,0.0001,0.27675276752767525,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
58,,Nan,50,0.004162848289876961,train,29,0.3,0.0001,0.27598896044158233,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
59,,Nan,50,0.004221341296618741,test,29,0.3,0.0001,0.27598896044158233,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
60,,Nan,50,0.005214791940837271,train,30,0.3,0.0001,0.2752293577981651,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
61,,Nan,50,0.005335402312518323,test,30,0.3,0.0001,0.2752293577981651,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
62,,Nan,50,0.004154041356117674,train,31,0.3,0.0001,0.2744739249771272,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
63,,Nan,50,0.004200631272623114,test,31,0.3,0.0001,0.2744739249771272,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
64,,Nan,50,0.005699106652377561,train,32,0.3,0.0001,0.2737226277372262,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
65,,Nan,50,0.005847269881281058,test,32,0.3,0.0001,0.2737226277372262,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
66,,Nan,50,0.00465326783903,train,33,0.3,0.0001,0.272975432211101,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
67,,Nan,50,0.004565002428412696,test,33,0.3,0.0001,0.272975432211101,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
68,,Nan,50,0.005024376770986382,train,34,0.3,0.0001,0.27223230490018147,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
69,,Nan,50,0.004769185943181013,test,34,0.3,0.0001,0.27223230490018147,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
70,,Nan,50,0.0054222784888212985,train,35,0.3,0.0001,0.27149321266968324,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
71,,Nan,50,0.005403103535567015,test,35,0.3,0.0001,0.27149321266968324,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
72,,Nan,50,0.003726125498788765,train,36,0.3,0.0001,0.2707581227436823,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
73,,Nan,50,0.0036101692068660593,test,36,0.3,0.0001,0.2707581227436823,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
74,,Nan,50,0.0038306380361103356,train,37,0.3,0.0001,0.27002700270027,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
75,,Nan,50,0.0036569409064965354,test,37,0.3,0.0001,0.27002700270027,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
76,,Nan,50,0.004019089979550094,train,38,0.3,0.0001,0.2692998204667863,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
77,,Nan,50,0.00382981503670602,test,38,0.3,0.0001,0.2692998204667863,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
78,,Nan,50,0.005305015902908046,train,39,0.3,0.0001,0.2685765443151298,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
79,,Nan,50,0.005034193313521418,test,39,0.3,0.0001,0.2685765443151298,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
80,,Nan,50,0.004363663129887525,train,40,0.3,0.0001,0.26785714285714285,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
81,,Nan,50,0.004175071838133989,test,40,0.3,0.0001,0.26785714285714285,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
82,,Nan,50,0.004061603878003455,train,41,0.3,0.0001,0.26714158504007124,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
